[0712/160228.058:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb7c001b5c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/160228.155:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb7c001b5c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/160228.179:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb7c001b5c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/161538.642:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a34001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/161538.734:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a34001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/161538.832:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a34001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/161538.850:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6a34001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/161727.775:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5fc4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/161727.871:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5fc4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/161727.967:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5fc4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/161727.990:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5fc4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/162230.223:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7ec001b9c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162230.324:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7ec001b9c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162230.426:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7ec001b9c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162230.453:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7ec001b9c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/162423.095:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24bc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162423.189:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24bc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162423.283:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24bc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162423.302:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24bc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/162613.544:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5dfc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162613.635:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5dfc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162613.730:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5dfc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162613.756:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5dfc001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/162821.987:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x406c001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162822.081:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x406c001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162822.171:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x406c001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/162822.191:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x406c001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/164037.251:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cd4001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/164037.343:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cd4001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/164037.435:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cd4001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/164037.457:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2cd4001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/164234.322:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3cbc001b9000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
